Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
No Churn,0,184.73,17950,30297,24,-0.3341935,Gold,Billing Problem,6.2,0,0,8,1,0
Churn,1,187.291,0,0,28,0,Silver,Moving,1,0,0,17,1,0
Churn,1,165.256,204.666667,10393.6667,23,0,Gold,Billing Problem,17.6,0,0,23,1,0
No Churn,0,179.491,15490.3333,41256.3333,39,0.14898627,Silver,Billing Problem,0,0,0,17,1,0
No Churn,0,49.465,5075,12333.3333,23,-0.6860465,Gold,Billing Problem,3.8,0,0,10,1,0
Churn,1,37.011,94.6666667,4526,39,-1,Gold,Billing Problem,11.2,0,0,19,1,0
No Churn,0,133.094,5147.66667,17223,36,-0.6227545,Gold,Moving,3.7,0,0,1,1,0
Churn,1,284.258,2015,59409,39,2.07211538,Silver,Billing Problem,9.9,0,0,2,1,0
No Churn,0,105.066,2667,7807,39,-0.1165644,Gold,Billing Problem,4,0,0,15,1,0
Churn,1,43.511,0,0,39,0,Gold,Billing Problem,25,0,0,17,1,0
Churn,1,192.244,4982.33333,35246.3333,32,0.03519682,Silver,Billing Problem,10.5,0,0,5,1,0
Churn,1,623.883,65506.6667,230288.333,39,-0.4637318,Silver,Billing Problem,17,0,0,10,1,0
Churn,1,60.008,4244,4568.33333,32,-0.0714286,Gold,Billing Problem,9.5,0,0,3,1,0
No Churn,0,286.793,12681.6667,54385,39,-0.1296607,Silver,Billing Problem,7.7,0,0,10,1,0
No Churn,0,453.544,66,1318.66667,39,-1,Gold,Check Account,0,0,0,39,1,0
No Churn,0,52.442,73,3962.33333,33,1.625,Gold,Moving,2.5,0,0,21,1,0
No Churn,0,187.291,4850.66667,23431.6667,28,2.39933063,Silver,Call Quality,15.5,0,0,5,1,0
Churn,1,519.376,10238.3333,91317.6667,39,-0.3111528,Silver,Billing Problem,2,0,0,39,1,0
Churn,1,43.511,12041.6667,63562.6667,20,-0.9855538,Gold,Call Quality,12,0,0,4,1,0
