,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
0,Apple,Ultrabook,8,Mac,1.37,927.9228816,0,1,226.98300468106115,Intel Core i5,0,128,Intel
1,Apple,Ultrabook,8,Mac,1.34,622.6418016,0,0,127.67794013309688,Intel Core i5,0,0,Intel
2,HP,Notebook,8,Other,1.86,398.268,0,0,141.21199808219862,Intel Core i5,0,256,Intel
3,Apple,Ultrabook,16,Mac,1.83,1757.5393679999997,0,1,220.53462386625827,Intel Core i7,0,512,AMD
4,Apple,Ultrabook,8,Mac,1.37,1249.245504,0,1,226.98300468106115,Intel Core i5,0,256,Intel
5,Acer,Notebook,4,Windows,2.1,277.056,0,0,100.45466986113651,AMD Processor,500,0,AMD
6,Apple,Ultrabook,16,Mac,2.04,1482.2288207999998,0,1,220.53462386625827,Intel Core i7,0,0,Intel
7,Apple,Ultrabook,8,Mac,1.34,802.5619679999999,0,0,127.67794013309688,Intel Core i5,0,0,Intel
8,Asus,Ultrabook,16,Windows,1.3,1035.4968,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia
9,Acer,Ultrabook,8,Windows,1.6,533.3327999999999,0,1,157.3505121487356,Intel Core i5,0,256,Intel
10,HP,Notebook,4,Other,1.86,272.830896,0,0,100.45466986113651,Intel Core i5,500,0,Intel
11,HP,Notebook,4,Other,1.86,238.9538736,0,0,141.21199808219862,Intel Core i3,500,0,Intel
12,Apple,Ultrabook,16,Mac,1.83,1690.0208208,0,1,220.53462386625827,Intel Core i7,0,256,AMD
13,Dell,Notebook,4,Windows,2.2,345.558096,0,0,141.21199808219862,Intel Core i3,0,256,AMD
14,Apple,Ultrabook,8,Mac,0.92,874.388736,0,1,226.41554716935852,Other Intel Processor,0,256,Intel
15,Apple,Ultrabook,8,Mac,1.37,1051.808472,0,1,226.98300468106115,Intel Core i5,0,256,Intel
16,Dell,Notebook,8,Windows,2.2,516.0168,0,0,141.21199808219862,Intel Core i7,0,256,AMD
17,Apple,Ultrabook,16,Mac,1.83,1979.5651199999998,0,1,220.53462386625827,Intel Core i7,0,512,AMD
18,Lenovo,Notebook,8,Other,2.2,345.62736,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
19,Dell,Ultrabook,8,Windows,1.22,678.09456,1,1,165.6321180513006,Intel Core i5,0,128,Intel
20,Asus,Netbook,2,Windows,0.98,132.91761599999998,0,0,135.0942111925629,Other Intel Processor,0,0,Intel
21,Lenovo,Gaming,8,Windows,2.5,691.94736,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
22,HP,Notebook,4,Other,1.86,178.70112,0,0,100.45466986113651,AMD Processor,500,0,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,567.27216,1,0,165.6321180513006,Intel Core i5,0,256,Intel
24,HP,Ultrabook,8,Windows,1.91,456.4497599999999,0,0,141.21199808219862,Intel Core i7,0,256,Intel
25,Dell,Notebook,4,Windows,2.3,289.96680960000003,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
26,Apple,Ultrabook,8,Mac,1.35,761.21136,0,0,127.67794013309688,Intel Core i5,0,0,Intel
27,Dell,Notebook,8,Windows,2.2,554.112,0,0,141.21199808219862,Intel Core i5,0,256,AMD
28,Dell,Ultrabook,8,Windows,1.88,899.0467199999999,0,0,141.21199808219862,Intel Core i7,0,512,Intel
29,HP,Notebook,8,Windows,2.5,620.6054399999999,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia
30,Chuwi,Notebook,4,Windows,1.89,169.6898736,0,0,141.21199808219862,Other Intel Processor,0,0,Intel
31,Asus,Notebook,2,Windows,1.65,137.83535999999998,0,0,111.93520355955211,AMD Processor,0,0,AMD
32,HP,Notebook,4,Windows,2.71,304.06895999999995,0,0,127.33567457123111,AMD Processor,500,0,AMD
33,Dell,Ultrabook,16,Windows,1.2,1294.54416,1,0,276.053530085501,Intel Core i7,0,512,Intel
34,Apple,Ultrabook,8,Mac,1.35,691.25472,0,0,127.67794013309688,Intel Core i5,0,0,Intel
35,Lenovo,Notebook,4,Windows,1.44,172.46735999999999,0,0,111.93520355955211,Other Intel Processor,0,0,Intel
36,Acer,Notebook,4,Other,2.1,254.19887999999997,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
37,Dell,Notebook,8,Windows,2.8,678.09456,0,1,127.33567457123111,Intel Core i5,1000,128,AMD
38,HP,Notebook,4,Windows,1.86,338.48624159999997,0,0,100.45466986113651,Intel Core i5,1000,0,Intel
